2024-03-12 16:18:23.954 interchange:133 HTEX-Interchange(418488) MainThread __init__ [DEBUG]  Initializing Interchange process
2024-03-12 16:18:23.954 interchange:139 HTEX-Interchange(418488) MainThread __init__ [INFO]  Attempting connection to client at 127.0.0.1 on ports: 55235,55766,55784
2024-03-12 16:18:23.957 interchange:151 HTEX-Interchange(418488) MainThread __init__ [INFO]  Connected to client
2024-03-12 16:18:23.959 interchange:182 HTEX-Interchange(418488) MainThread __init__ [INFO]  Bound to ports 54051,54944 for incoming worker connections
2024-03-12 16:18:23.959 interchange:198 HTEX-Interchange(418488) MainThread __init__ [INFO]  Platform info: {'parsl_v': '1.3.0-dev', 'python_v': '3.10.13', 'os': 'Linux', 'hostname': 'resilient-compute', 'dir': '/home/cc/resilient_compute/performance_experiments'}
2024-03-12 16:18:23.960 interchange:353 HTEX-Interchange(418488) MainThread start [INFO]  Incoming ports bound
2024-03-12 16:18:23.963 interchange:229 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [INFO]  Starting
2024-03-12 16:18:23.963 interchange:233 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  launching recv_pyobj
2024-03-12 16:18:23.963 interchange:272 HTEX-Interchange(418488) Interchange-Command _command_server [DEBUG]  Command Server Starting
2024-03-12 16:18:23.977 interchange:241 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  putting message onto pending_task_queue
2024-03-12 16:18:23.977 interchange:244 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  Fetched 1 tasks so far
2024-03-12 16:18:23.977 interchange:233 HTEX-Interchange(418488) Interchange-Task-Puller task_puller [DEBUG]  launching recv_pyobj
2024-03-12 16:18:24.064 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:24.064 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:24.165 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:24.165 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:24.265 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:24.265 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:24.366 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:24.366 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:24.466 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:24.467 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:24.567 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:24.567 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:24.668 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:24.668 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:24.768 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:24.768 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:24.869 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:24.869 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:24.939 interchange:282 HTEX-Interchange(418488) Interchange-Command _command_server [DEBUG]  Received command request: CONNECTED_BLOCKS
2024-03-12 16:18:24.940 interchange:331 HTEX-Interchange(418488) Interchange-Command _command_server [DEBUG]  Reply: []
2024-03-12 16:18:24.941 interchange:282 HTEX-Interchange(418488) Interchange-Command _command_server [DEBUG]  Received command request: OUTSTANDING_C
2024-03-12 16:18:24.941 interchange:331 HTEX-Interchange(418488) Interchange-Command _command_server [DEBUG]  Reply: 1
2024-03-12 16:18:24.943 interchange:282 HTEX-Interchange(418488) Interchange-Command _command_server [DEBUG]  Received command request: WORKERS
2024-03-12 16:18:24.943 interchange:331 HTEX-Interchange(418488) Interchange-Command _command_server [DEBUG]  Reply: 0
2024-03-12 16:18:24.944 interchange:282 HTEX-Interchange(418488) Interchange-Command _command_server [DEBUG]  Received command request: WORKERS
2024-03-12 16:18:24.944 interchange:331 HTEX-Interchange(418488) Interchange-Command _command_server [DEBUG]  Reply: 0
2024-03-12 16:18:24.969 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:24.969 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:25.070 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:25.070 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:25.170 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:25.171 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:25.271 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
2024-03-12 16:18:25.271 interchange:503 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  either no interesting managers or no tasks, so skipping manager pass
2024-03-12 16:18:25.372 interchange:466 HTEX-Interchange(418488) MainThread process_tasks_to_send [DEBUG]  Managers count (interesting/total): 0/0
